# source: IEA-CCUS-2026
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Carbon Capture and Storage` criterion.
variable,year,region,unit,value
Carbon Capture|Geological Storage,2030,NGA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NIC,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NIU,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NLD,Mt CO2/yr,2.5984
Carbon Capture|Geological Storage,2030,NOR,Mt CO2/yr,17.43
Carbon Capture|Geological Storage,2030,NPL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NRU,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,NZL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,OMN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PAK,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PAN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PCN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PER,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PHL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PLW,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PNG,Mt CO2/yr,1.4
Carbon Capture|Geological Storage,2030,POL,Mt CO2/yr,3.297
Carbon Capture|Geological Storage,2030,PRI,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PRK,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PRT,Mt CO2/yr,0.9086
Carbon Capture|Geological Storage,2030,PRY,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PSE,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,PYF,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,QAT,Mt CO2/yr,11.2
Carbon Capture|Geological Storage,2030,REU,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ROU,Mt CO2/yr,1.4966
Carbon Capture|Geological Storage,2030,RUS,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,RWA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SAU,Mt CO2/yr,13.72
Carbon Capture|Geological Storage,2030,SDN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SEN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SGP,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SGS,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SHN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SJM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SLB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SLE,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SLV,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SMR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SOM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SPM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SRB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SSD,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,STP,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SUR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SVK,Mt CO2/yr,0.4536
Carbon Capture|Geological Storage,2030,SVN,Mt CO2/yr,0.2086
Carbon Capture|Geological Storage,2030,SWE,Mt CO2/yr,1.4056
Carbon Capture|Geological Storage,2030,SWZ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SXM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SYC,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,SYR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TCA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TCD,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TGO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,THA,Mt CO2/yr,1.4
Carbon Capture|Geological Storage,2030,TJK,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TKL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TKM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TLS,Mt CO2/yr,0.0168
Carbon Capture|Geological Storage,2030,TON,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TTO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TUN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TUR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TUV,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TWN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,TZA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,UGA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,UKR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,UMI,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,URY,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,USA,Mt CO2/yr,290.6806
Carbon Capture|Geological Storage,2030,UZB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VAT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VCT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VEN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VGB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VIR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VNM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,VUT,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,WLF,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,WSM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,YEM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ZAF,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ZMB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ZWE,Mt CO2/yr,0.0
