# source: EI-2023
# description: Data from {{source}} linearly extrapolated to 2025.
variable,year,region,unit,value
Primary Energy|Gas,2025,HUN,EJ/yr,0.2223
Primary Energy|Gas,2025,IDN,EJ/yr,1.7365999999999995
Primary Energy|Gas,2025,IMN,EJ/yr,0.0
Primary Energy|Gas,2025,IND,EJ/yr,2.568
Primary Energy|Gas,2025,IOT,EJ/yr,0.0
Primary Energy|Gas,2025,IRL,EJ/yr,0.1464
Primary Energy|Gas,2025,IRN,EJ/yr,9.282900000000001
Primary Energy|Gas,2025,IRQ,EJ/yr,0.6979
Primary Energy|Gas,2025,ISL,EJ/yr,0.0
Primary Energy|Gas,2025,ISR,EJ/yr,0.4830000000000001
Primary Energy|Gas,2025,ITA,EJ/yr,1.6341000000000006
Primary Energy|Gas,2025,JAM,EJ/yr,0.0172
Primary Energy|Gas,2025,JEY,EJ/yr,0.0
Primary Energy|Gas,2025,JOR,EJ/yr,0.1789
Primary Energy|Gas,2025,JPN,EJ/yr,2.7653000000000003
Primary Energy|Gas,2025,KAZ,EJ/yr,0.7817
Primary Energy|Gas,2025,KEN,EJ/yr,0.12889999999999996
Primary Energy|Gas,2025,KGZ,EJ/yr,0.07260000000000001
Primary Energy|Gas,2025,KHM,EJ/yr,0.029600000000000005
Primary Energy|Gas,2025,KIR,EJ/yr,0.0002
Primary Energy|Gas,2025,KNA,EJ/yr,0.0004
Primary Energy|Gas,2025,KOR,EJ/yr,1.9969000000000001
Primary Energy|Gas,2025,KWT,EJ/yr,0.8655999999999999
Primary Energy|Gas,2025,LAO,EJ/yr,0.021299999999999996
Primary Energy|Gas,2025,LBN,EJ/yr,0.17040000000000002
Primary Energy|Gas,2025,LBR,EJ/yr,0.0081
Primary Energy|Gas,2025,LBY,EJ/yr,0.1001
Primary Energy|Gas,2025,LCA,EJ/yr,0.0007999999999999998
Primary Energy|Gas,2025,LIE,EJ/yr,0.0
Primary Energy|Gas,2025,LKA,EJ/yr,0.0
Primary Energy|Gas,2025,LSO,EJ/yr,0.0043
Primary Energy|Gas,2025,LTU,EJ/yr,0.053399999999999996
Primary Energy|Gas,2025,LUX,EJ/yr,0.017800000000000003
Primary Energy|Gas,2025,LVA,EJ/yr,0.024399999999999998
Primary Energy|Gas,2025,MAC,EJ/yr,0.0071
Primary Energy|Gas,2025,MAF,EJ/yr,0.0
Primary Energy|Gas,2025,MAR,EJ/yr,0.08
Primary Energy|Gas,2025,MCO,EJ/yr,0.0
Primary Energy|Gas,2025,MDA,EJ/yr,0.0664
Primary Energy|Gas,2025,MDG,EJ/yr,0.0384
Primary Energy|Gas,2025,MDV,EJ/yr,0.001
Primary Energy|Gas,2025,MEX,EJ/yr,3.9896000000000003
Primary Energy|Gas,2025,MHL,EJ/yr,0.0
Primary Energy|Gas,2025,MKD,EJ/yr,0.018099999999999998
Primary Energy|Gas,2025,MLI,EJ/yr,0.0332
Primary Energy|Gas,2025,MLT,EJ/yr,0.018
Primary Energy|Gas,2025,MMR,EJ/yr,0.088
Primary Energy|Gas,2025,MNE,EJ/yr,0.0081
Primary Energy|Gas,2025,MNG,EJ/yr,0.026599999999999995
Primary Energy|Gas,2025,MNP,EJ/yr,0.0
Primary Energy|Gas,2025,MOZ,EJ/yr,0.05490000000000001
Primary Energy|Gas,2025,MRT,EJ/yr,0.0085
Primary Energy|Gas,2025,MSR,EJ/yr,0.0
Primary Energy|Gas,2025,MTQ,EJ/yr,0.0023
Primary Energy|Gas,2025,MUS,EJ/yr,0.0099
Primary Energy|Gas,2025,MWI,EJ/yr,0.0295
Primary Energy|Gas,2025,MYS,EJ/yr,1.2358
Primary Energy|Gas,2025,MYT,EJ/yr,0.0
Primary Energy|Gas,2025,NAM,EJ/yr,0.0076
Primary Energy|Gas,2025,NCL,EJ/yr,0.0
Primary Energy|Gas,2025,NER,EJ/yr,0.0145
Primary Energy|Gas,2025,NFK,EJ/yr,0.0
Primary Energy|Gas,2025,NGA,EJ/yr,0.3126999999999999
Primary Energy|Gas,2025,NIC,EJ/yr,0.021799999999999996
Primary Energy|Gas,2025,NIU,EJ/yr,0.0
Primary Energy|Gas,2025,NLD,EJ/yr,0.8008
Primary Energy|Gas,2025,NOR,EJ/yr,0.127
Primary Energy|Gas,2025,NPL,EJ/yr,0.06049999999999999
Primary Energy|Gas,2025,NRU,EJ/yr,0.0
Primary Energy|Gas,2025,NZL,EJ/yr,0.15020000000000006
Primary Energy|Gas,2025,OMN,EJ/yr,1.1325000000000003
Primary Energy|Gas,2025,PAK,EJ/yr,1.3366000000000002
Primary Energy|Gas,2025,PAN,EJ/yr,0.04609999999999999
Primary Energy|Gas,2025,PCN,EJ/yr,0.0
Primary Energy|Gas,2025,PER,EJ/yr,0.38309999999999994
Primary Energy|Gas,2025,PHL,EJ/yr,0.1241
Primary Energy|Gas,2025,PLW,EJ/yr,0.0
Primary Energy|Gas,2025,PNG,EJ/yr,0.011999999999999999
Primary Energy|Gas,2025,POL,EJ/yr,0.7754
Primary Energy|Gas,2025,PRI,EJ/yr,0.0262
Primary Energy|Gas,2025,PRK,EJ/yr,0.06210000000000001
Primary Energy|Gas,2025,PRT,EJ/yr,0.08150000000000002
Primary Energy|Gas,2025,PRY,EJ/yr,0.054599999999999996
Primary Energy|Gas,2025,PSE,EJ/yr,0.0
Primary Energy|Gas,2025,PYF,EJ/yr,0.0
Primary Energy|Gas,2025,QAT,EJ/yr,1.8696
Primary Energy|Gas,2025,REU,EJ/yr,0.0
